,id,ano,metascore,title
1406,235360,2013,58,Prime World: Defenders
1427,218550,2013,87,Borderlands 2: Tiny Tina's Assault on Dragon Keep
1431,231430,2013,80,Company of Heroes 2
1451,207620,2013,78,The Walking Dead: 400 Days
1456,225360,2013,41,DARK
1457,243360,2013,79,TrackMania² Valley
1468,205080,2013,74,BIT.TRIP FATE
1471,233370,2013,74,The Raven - Legacy of a Master Thief
1472,241320,2013,67,Ittle Dew
1478,234650,2013,76,Shadowrun Returns
1479,238870,2013,20,Citadels
1482,241410,2013,73,CastleStorm
1485,228960,2013,72,Skulls of the Shogun
1487,214930,2013,69,BioShock Infinite: Clash in the Clouds
1495,217140,2013,67,Rise of the Triad
1499,210870,2013,67,Cloudberry Kingdom™
1511,242590,2013,86,Saints Row IV: Inauguration Station
1516,231040,2013,75,Beatbuddy: Tale of the Guardians
1517,241620,2012,64,Inquisitor
1523,212894,2013,80,Dishonored: The Brigmore Witches
1524,237630,2013,66,DuckTales: Remastered
1528,233840,2013,73,Worms Clan Wars
1534,242570,2013,58,Space Hulk
1540,243780,2013,72,PixelJunk™ Monsters Ultimate
1550,250110,2015,79,Assault Android Cactus
1551,244710,2013,69,Shelter
1552,250030,2013,71,Lilly Looking Through
1555,246800,2014,56,BeatBlasters III
1561,239820,2013,68,Game Dev Tycoon
1568,111900,2013,56,Guardians of Middle-earth
1579,238320,2013,80,Outlast
1580,231310,2013,73,MirrorMoon EP
1585,244060,2013,77,Rise of Flight: Ace Pack
1590,259020,2013,63,Dragon's Prophet
1604,226960,2013,69,Ironclad Tactics
1608,244810,2013,69,Foul Play
1614,237740,2013,77,Angry Video Game Nerd Adventures
1619,243450,2013,58,Urban Trial Freestyle
1627,249870,2013,68,Scribblenauts Unmasked: A DC Comics Adventure
1629,217920,2013,52,Alien Rage - Unlimited
1647,243040,2001,86,Startopia
1649,221910,2013,88,The Stanley Parable
1652,247140,2013,78,Soundodger+
1653,250320,2013,85,The Wolf Among Us
1660,242820,2013,80,140
1662,242940,2001,77,Anachronox
1664,244690,2013,59,Face Noir
1669,214730,2013,68,Space Rangers HD: A War Apart
1671,241910,2013,80,Goodbye Deponia
1673,238010,2013,91,Deus Ex: Human Revolution - Director's Cut
1674,238430,2013,62,Contagion
1675,260250,2014,65,Blood of the Werewolf
1677,252330,2013,65,Slender: The Arrival
1681,251850,2013,59,Master Reboot
1683,259190,2013,66,Alone in the Dark: The New Nightmare
1684,259170,2008,55,Alone in the Dark
1686,247660,2013,59,Deadly Premonition: The Director's Cut
1689,241540,2013,79,State of Decay
1701,219830,2013,81,King Arthur's Gold
1705,226620,2013,82,Desktop Dungeons
1706,248730,2013,67,A Walk in the Dark
1709,256050,2013,49,Adventure Park
1710,248820,2013,77,Risk of Rain
1711,251990,2013,67,Long Live The Queen
1715,240660,2013,68,Rain Blood Chronicles: Mirage
1718,255870,2013,73,PixelJunk™ Shooter
1719,225340,2013,86,XCOM: Enemy Within
1737,257770,2013,61,Signal Ops
1739,226667,2013,77,Expansion - Crusader Kings II: Sons of Abraham
1750,258010,2013,75,Ring Runner: Flight of the Sages
1758,258950,2013,39,Montague's Mount
1766,260730,2001,78,Desperados: Wanted Dead or Alive
1772,252710,1997,82,The Last Express Gold Edition
1778,260710,2004,66,Dark Fall 2: Lights Out
1779,260690,2002,68,Dark Fall: The Journal
1795,257050,2013,55,Darkout
1796,253110,2012,81,The Cat Lady
1798,257990,2013,66,Oozi: Earth Adventure
1800,109600,2013,74,Neverwinter
1806,259470,2014,74,Particulars
1815,246840,2005,80,FATE
1821,260190,2006,69,Marc Eckō's Getting Up: Contents Under Pressure
1850,260650,2005,64,Cold War
1851,264240,2014,66,CONSORTIUM
1852,94400,2014,81,Nidhogg
1864,261740,2014,55,Humans Must Answer
1868,222880,2014,74,Insurgency
1870,263560,2013,73,Paper Sorcerer
1874,262790,2014,74,Our Darker Purpose
1875,249570,2014,58,The Castle Doctrine
1881,267980,2001,80,Hostile Waters: Antaeus Rising
1882,253790,2014,77,rymdkapsel
1885,224480,2014,69,Octodad: Dadliest Catch
1900,237890,2014,45,Agarest: Generations of War
1905,265690,2014,66,NaissanceE
1911,257870,2014,67,Eschalon: Book III
1923,253750,2014,84,Ikaruga
1935,269030,2013,66,The Yawhg
1945,239250,2014,58,Castlevania: Lords of Shadow 2
1947,247000,2014,51,Talisman: Digital Edition
1948,266170,2014,53,Windforge
1954,270310,2014,62,Dominique Pamplemousse
1960,251470,2014,87,TowerFall Ascension
1963,251510,2014,60,Constant C
1974,258180,2014,45,Deus Ex: The Fall
1975,233150,2014,80,LUFTRAUSERS
1979,214932,2014,80,BioShock Infinite: Burial at Sea - Episode Two
1983,262390,2014,72,Cloudbuilt
2007,218820,2014,76,Mercenary Kings
2017,286460,2011,71,Black Mirror II
2020,283370,2004,52,Marine Sharpshooter II: Jungle Warfare
2023,289440,2004,77,Perimeter
2025,289280,2006,54,El Matador
2029,288040,2014,77,Actual Sunlight
2032,286320,2013,61,Oknytt
2033,240970,2014,79,Half Minute Hero: The Second Coming
2034,287020,1996,53,Harvester
2036,277430,2014,70,Halo: Spartan Assault
2081,289800,2014,67,Dracula: The Resurrection
2086,289360,2004,35,Konung 2
2088,289460,2003,65,RC Cars
2100,297570,2002,73,Warrior Kings
2104,287720,2014,70,Nostradamus: The Last Prophecy
2112,296210,2006,41,Brigade E5: New Jagged Union
2117,250640,2014,56,Croixleur Sigma
2128,274880,2014,57,Jet Car Stunts
2129,264060,2014,72,Full Bore
2130,298920,2014,56,Croixleur Sigma Demo
2140,299070,2003,64,Warrior Kings: Battles
2145,225600,2014,72,Blade Symphony
2155,260160,2014,72,The Last Tinker™: City of Colors
2170,269790,2014,55,DreadOut
2174,238460,2014,85,BattleBlock Theater®
2175,298140,2008,67,Rhiannon: Curse of the Four Branches
2177,252550,2014,72,Qbeh-1: The Atlas Cube
2179,244450,2014,68,Men of War: Assault Squad 2
2217,289240,2006,72,Perimeter: Emperor's Testament
2221,245620,2014,75,Tropico 5
2236,279620,2014,84,Expansion - Europa Universalis IV: Wealth of Nations
2241,294750,2014,70,Anomaly Defenders
2243,244950,2014,74,Where is my Heart?
2257,290770,2014,76,The Fall
2267,279260,2014,70,Richard &amp; Alice
2269,247730,2014,57,Nether: Resurrected
